"중소단체
계약번호",변경회차,단체계약명,지원구분,보험계약자,등록건수,대상건수,제외건수,신청일,확정일,보험계약기간,진행상태,기업규모,"일괄가입
방식여부",부서,담당자,대표지원기관,"지원
진행상태"
1125070020,0,2025년 무역협회 14차 단체보험(소액한도),단기수출보험(단체보험) 소규모,(사)한국무역협회,3,1,2,2025.07.22,2025.07.22,2025.08.01 ~ 2026.07.31,확정완료,중소중견기업,N,수출기업화팀,고준혁,한국무역협회,지원완료
1125070019,1,[계약추가] 2025년 무역협회 14차 단체보험,단기수출보험(단체보험) 일반,(사)한국무역협회,1,1,0,2025.07.29,2025.07.29,2025.08.01 ~ 2026.07.31,확정완료,중소중견기업,N,수출기업화팀,고준혁,한국무역협회,지원완료
1125070019,0,2025년 무역협회 14차 단체보험,단기수출보험(단체보험) 일반,(사)한국무역협회,21,17,4,2025.07.22,2025.07.22,2025.08.01 ~ 2026.07.31,확정완료,중소중견기업,N,수출기업화팀,고준혁,한국무역협회,지원완료
1125070018,0,2025년 경기도 단체보험(경기 안심 수출보험)_7월 ,단기수출보험(단체보험) 일반,경기도청,1,1,0,2025.07.22,2025.07.22,2025.07.01 ~ 2026.05.06,확정완료,중소중견기업,N,경기남부지사,강경민,경기도청,지원완료
1125070017,0,2025년 대전광역시청 일괄가입방식 단체보험(소규모),단기수출보험(단체보험) 소규모,대전광역시청,386,384,2,2025.07.17,2025.07.17,2025.07.20 ~ 2026.07.19,확정완료,중소중견기업,Y,대전세종충남지사,김호수,대전광역시청,지원완료
1125070016,0,2025년 대전광역시청 일괄가입방식 단체보험(일반),단기수출보험(단체보험) 일반,대전광역시청,52,52,0,2025.07.17,2025.07.17,2025.07.20 ~ 2026.07.19,확정완료,중소중견기업,Y,대전세종충남지사,김호수,대전광역시청,지원완료
1125070015,0,2025 경북도청 일괄가입방식 단체보험 일반,단기수출보험(단체보험) 일반,경북도청,"1,135","1,135",0,2025.07.16,2025.07.16,2025.07.17 ~ 2026.07.16,확정완료,중소중견기업,Y,대구경북지사,이별이,경북도청,지원완료
1125070014,0,2025 대구광역시청 일괄가입방식 단체보험 소규모,단기수출보험(단체보험) 소규모,대구광역시청,"2,479","2,479",0,2025.07.16,2025.07.16,2025.07.17 ~ 2026.07.16,확정완료,중소중견기업,Y,대구경북지사,조서윤,대구광역시청,지원완료
1125070013,0,2025 대구광역시청 일괄가입방식 단체보험 일반,단기수출보험(단체보험) 일반,대구광역시청,"1,200","1,199",1,2025.07.16,2025.07.16,2025.07.17 ~ 2026.07.16,확정완료,중소중견기업,Y,대구경북지사,조서윤,대구광역시청,지원완료
1125070012,0,2025 경북도청 일괄가입방식 단체보험 소규모,단기수출보험(단체보험) 소규모,경북도청,"2,426","2,425",1,2025.07.16,2025.07.16,2025.07.17 ~ 2026.07.16,확정완료,중소중견기업,Y,대구경북지사,이별이,경북도청,지원완료
1125070010,0,2025년 밀양시청 단기수출보험(단체보험),단기수출보험(단체보험) 일반,밀양시청,12,12,0,2025.07.16,2025.07.16,2025.07.18 ~ 2026.07.17,확정완료,중소중견기업,N,경남지사,전보영,밀양시청,지원완료
1125070009,1,[계약추가] 2025년 무역협회 13차 단체보험,단기수출보험(단체보험) 일반,(사)한국무역협회,2,2,0,2025.07.14,2025.07.14,2025.07.16 ~ 2026.07.15,확정완료,중소중견기업,N,수출기업화팀,고준혁,한국무역협회,지원완료
1125070009,0,2025년 무역협회 13차 단체보험,단기수출보험(단체보험) 일반,(사)한국무역협회,26,20,6,2025.07.09,2025.07.09,2025.07.16 ~ 2026.07.15,확정완료,중소중견기업,N,수출기업화팀,고준혁,한국무역협회,지원완료
1125070008,1,[계약추가] 2025년 무역협회 13차 단체보험(소액한도),단기수출보험(단체보험) 소규모,(사)한국무역협회,3,3,0,2025.07.14,2025.07.14,2025.07.16 ~ 2026.07.15,확정완료,중소중견기업,N,수출기업화팀,고준혁,한국무역협회,지원완료
1125070008,0,2025년 무역협회 13차 단체보험(소액한도),단기수출보험(단체보험) 소규모,(사)한국무역협회,3,3,0,2025.07.09,2025.07.09,2025.07.16 ~ 2026.07.15,확정완료,중소중견기업,N,수출기업화팀,고준혁,한국무역협회,지원완료
1125070007,0,2025년 7월 김포시청 단체보험,단기수출보험(단체보험) 일반,김포시청,11,11,0,2025.07.09,2025.07.09,2025.07.01 ~ 2026.06.30,확정완료,중소중견기업,N,경기북부지사,최슬기,김포시청,지원완료
1125070006,0,[특약추가]2024년 충남도청 단체보험(7차),단기수출보험(단체보험) 일반,충청남도청,1,1,0,2025.07.08,2025.07.08,2025.07.01 ~ 2025.10.07,확정완료,중소중견기업,N,대전세종충남지사,장정란,충남도청,지원완료
1125070005,0,2025년 aT 7월 단체보험,단기수출보험(단체보험) 일반,한국농수산식품유통공사,9,5,4,2025.07.08,2025.07.08,2025.07.20 ~ 2026.07.19,확정완료,중소중견기업,N,수출기업화팀,고준혁,aT(한국농수산식품유통공사),지원완료
1125070004,0,2025 성남시 단체보험 (7월),단기수출보험(단체보험) 일반,성남시청,23,22,1,2025.07.07,2025.07.07,2025.07.01 ~ 2026.06.30,확정완료,중소중견기업,N,경기남부지사,길연경,성남시청,지원완료
1125070003,0,2025년 안양시 단체보험(7월 신규 및 갱신),단기수출보험(단체보험) 일반,안양산업진흥원,6,6,0,2025.07.02,2025.07.02,2025.07.01 ~ 2026.06.30,확정완료,중소중견기업,N,경기남부지사,신주영,안양시청,지원완료
1125070002,0,2025년 경남도청 단체보험 일괄가입(2.5만불),단기수출보험(단체보험) 일반,경상남도,617,616,1,2025.07.02,2025.07.02,2025.06.25 ~ 2026.06.24,확정완료,중소중견기업,Y,경남지사,김민아1,경남도청,지원완료
1125070001,0,2025년 경남도청 단체보험 일괄가입(소규모),단기수출보험(단체보험) 소규모,경상남도,"1,885","1,883",2,2025.07.01,2025.07.01,2025.06.25 ~ 2026.06.24,확정완료,중소중견기업,Y,경남지사,김민아1,경남도청,지원완료
1125060038,0,2025년 경산시청 단체보험 갱신,단기수출보험(단체보험) 일반,경산시청,32,32,0,2025.06.30,2025.06.30,2025.07.01 ~ 2026.06.30,확정완료,중소중견기업,N,대구경북지사,박종은,경산시청,지원완료
1125060037,0,[추가] 2025년 아산시 단체보험 피보험자 추가_1차,단기수출보험(단체보험) 일반,아산시청,1,1,0,2025.06.27,2025.06.27,2025.07.01 ~ 2026.05.27,확정완료,중소중견기업,N,천안출장소,신예선,아산시청,지원완료
1125060036,0,2025년 7월 파주시청 단체보험,단기수출보험(단체보험) 일반,파주시청,9,9,0,2025.06.26,2025.06.26,2025.07.01 ~ 2026.06.30,확정완료,중소중견기업,N,경기북부지사,최슬기,파주시청,지원완료
1125060035,0,`25년 충북도청 일반 단체보험 갱신,단기수출보험(단체보험) 일반,충청북도청,53,53,0,2025.06.25,2025.06.25,2025.07.01 ~ 2026.06.30,확정완료,중소중견기업,N,충북지사,태동혁,충북도청,지원완료
1125060034,0,`25년 충북도청 일괄가입방식 일반 단체보험 갱신,단기수출보험(단체보험) 일반,충청북도청,819,815,4,2025.06.25,2025.06.25,2025.07.01 ~ 2026.06.30,확정완료,중소중견기업,Y,충북지사,태동혁,충북도청,지원완료
1125060033,0,`25년 충북도청 일괄가입방식 소액 단체보험 갱신,단기수출보험(단체보험) 소규모,충청북도청,"1,188","1,188",0,2025.06.25,2025.06.25,2025.07.01 ~ 2026.06.30,확정완료,중소중견기업,Y,충북지사,태동혁,충북도청,지원완료
1125060032,0,2025년 인천광역시 단체보험(6차)_7월15일,단기수출보험(단체보험) 일반,인천광역시청,1,1,0,2025.06.24,2025.06.24,2025.07.15 ~ 2026.07.14,확정완료,중소중견기업,N,인천지사,정가연,인천광역시청,지원완료
1125060031,0,2025년 인천광역시 단체보험(6차)_7월1일,단기수출보험(단체보험) 일반,인천광역시청,44,44,0,2025.06.24,2025.06.24,2025.07.01 ~ 2026.06.30,확정완료,중소중견기업,N,인천지사,정가연,인천광역시청,지원완료
1125060030,0,2025년 부천시 단체보험(4차)_7월,단기수출보험(단체보험) 일반,부천시청,2,2,0,2025.06.24,2025.06.24,2025.07.01 ~ 2026.06.30,확정완료,중소중견기업,N,인천지사,정가연,부천시청,지원완료
1125060029,0,2025년 7월 화성시 단체보험,단기수출보험(단체보험) 일반,화성시청,10,10,0,2025.06.24,2025.06.24,2025.07.01 ~ 2026.06.30,확정완료,중소중견기업,N,경기남부지사,남영은,화성시청,지원완료
1125060028,0,2025년 당진시 단체보험 갱신,단기수출보험(단체보험) 일반,당진시청,22,22,0,2025.06.24,2025.06.24,2025.07.01 ~ 2026.06.30,확정완료,중소중견기업,N,천안출장소,신예선,당진시청,지원완료
1125060027,0,2025년 7월 서울시청 단체보험 신규,단기수출보험(단체보험) 일반,서울시청,12,12,0,2025.06.24,2025.06.24,2025.07.01 ~ 2026.06.30,확정완료,중소중견기업,N,중앙지사,이창환,서울특별시청,지원완료
1125060026,0,2025년 중소기업중앙회 베트남(아세안)사무소 단체보험,단기수출보험(단체보험) 소규모,중소기업중앙회,14,5,9,2025.06.23,2025.06.23,2025.06.23 ~ 2026.06.22,확정완료,중소중견기업,N,수출기업화팀,고준혁,중소기업중앙회,지원완료
1125060025,0,2025년 무역협회 12차 단체보험(소액한도),단기수출보험(단체보험) 소규모,(사)한국무역협회,1,1,0,2025.06.23,2025.06.23,2025.07.01 ~ 2026.06.30,확정완료,중소중견기업,N,수출기업화팀,고준혁,한국무역협회,지원완료
1125060024,1,[계약추가] 2025년 무역협회 12차 단체보험,단기수출보험(단체보험) 일반,(사)한국무역협회,1,1,0,2025.06.24,2025.06.24,2025.07.01 ~ 2026.06.30,확정완료,중소중견기업,N,수출기업화팀,고준혁,한국무역협회,지원완료
1125060024,0,2025년 무역협회 12차 단체보험,단기수출보험(단체보험) 일반,(사)한국무역협회,20,17,3,2025.06.23,2025.06.23,2025.07.01 ~ 2026.06.30,확정완료,중소중견기업,N,수출기업화팀,고준혁,한국무역협회,지원완료
1125060023,0,2025년 7월 서울시청 단체보험 갱신,단기수출보험(단체보험) 일반,서울시청,133,127,6,2025.06.23,2025.06.23,2025.07.01 ~ 2026.06.30,확정완료,중소중견기업,N,중앙지사,이창환,서울특별시청,지원완료
1125060022,0,2025년 세종특별자치시청 단체보험 갱신,단기수출보험(단체보험) 일반,세종특별자치시청,33,33,0,2025.06.20,2025.06.20,2025.06.29 ~ 2026.06.28,확정완료,중소중견기업,N,대전세종충남지사,위해은,세종특별자치시청,지원완료
1125060021,0,2025년 경기도 단체보험(경기 안심 수출보험) 6월 ,단기수출보험(단체보험) 일반,경기도청,7,7,0,2025.06.19,2025.06.19,2025.06.01 ~ 2026.05.06,확정완료,중소중견기업,N,경기남부지사,나영희,경기도청,지원완료
1125060020,0,2025년 무역협회 11차 단체보험,단기수출보험(단체보험) 일반,(사)한국무역협회,28,17,11,2025.06.16,2025.06.16,2025.06.16 ~ 2026.06.15,확정완료,중소중견기업,N,수출기업화팀,고준혁,한국무역협회,지원완료
1125060019,0,2025년 진주시청 단체보험,단기수출보험(단체보험) 일반,진주시청,4,4,0,2025.06.13,2025.06.13,2025.06.25 ~ 2026.06.24,확정완료,중소중견기업,N,경남지사,이무홍,진주시청,지원완료
1125060018,0,2025년 부산광역시 일괄가입방식 단체보험 소규모,단기수출보험(단체보험) 소규모,부산광역시,"2,234","2,234",0,2025.06.13,2025.06.13,2025.06.15 ~ 2026.06.14,확정완료,중소중견기업,Y,부산지사,김현수,부산광역시청,지원완료
1125060017,0,2025년 부산광역시 일괄가입방식 단체보험,단기수출보험(단체보험) 일반,부산광역시,"1,820","1,820",0,2025.06.13,2025.06.13,2025.06.15 ~ 2026.06.14,확정완료,중소중견기업,Y,부산지사,김현수,부산광역시청,지원완료
1125060016,0,2025년 강원특별자치도청 단체보험,단기수출보험(단체보험) 일반,강원특별자치도청,79,79,0,2025.06.12,2025.06.12,2025.06.20 ~ 2026.06.19,확정완료,중소중견기업,N,강원지사,박종민,강원특별자치도청,지원완료
1125060015,0,2025 성남시 단체보험 (6월),단기수출보험(단체보험) 일반,성남시청,5,5,0,2025.06.12,2025.06.12,2025.06.01 ~ 2026.05.31,확정완료,중소중견기업,N,경기남부지사,길연경,성남시청,지원완료
1125060014,0,2025년 aT 6월 단체보험,단기수출보험(단체보험) 일반,한국농수산식품유통공사,3,3,0,2025.06.11,2025.06.11,2025.06.20 ~ 2026.06.19,확정완료,중소중견기업,N,수출기업화팀,고준혁,aT(한국농수산식품유통공사),지원완료
1125060013,0,2025년 무역협회 11차 단체보험(소액한도),단기수출보험(단체보험) 소규모,(사)한국무역협회,7,5,2,2025.06.11,2025.06.11,2025.06.16 ~ 2026.06.15,확정완료,중소중견기업,N,수출기업화팀,고준혁,한국무역협회,지원완료
1125060012,0,2025년 춘천바이오산업진흥원 단체보험,단기수출보험(단체보험) 일반,재단법인 춘천바이오산업진흥원,14,14,0,2025.06.11,2025.06.11,2025.06.20 ~ 2026.06.19,확정완료,중소중견기업,N,강원지사,박종민,춘천시청,지원완료
1125060011,0,기업은행 단체보험(일괄),단기수출보험(단체보험) 일반,기업은행 외환사업부,9,9,0,2025.06.11,2025.06.11,2025.06.15 ~ 2026.06.14,확정완료,중소중견기업,Y,수출기업화팀,고준혁,기업은행,지원완료
1125060010,0,2025년 강원특별자치도경제진흥원 단체보험(일괄가입),단기수출보험(단체보험) 일반,재단법인 강원특별자치도경제진흥원,34,34,0,2025.06.10,2025.06.10,2025.06.13 ~ 2026.06.12,확정완료,중소중견기업,Y,강원지사,박종민,홍천군청,지원완료
1125060009,0,2025년 6월 김포시청 단체보험,단기수출보험(단체보험) 일반,김포시청,13,13,0,2025.06.10,2025.06.10,2025.06.01 ~ 2026.05.31,확정완료,중소중견기업,N,경기북부지사,최슬기,김포시청,지원완료
1125060008,0,2025년 6월 파주시청 단체보험,단기수출보험(단체보험) 일반,파주시청,3,3,0,2025.06.10,2025.06.10,2025.06.01 ~ 2026.05.31,확정완료,중소중견기업,N,경기북부지사,최슬기,파주시청,지원완료
1125060007,0,2025년 양산시 단체보험 ('25.06.12),단기수출보험(단체보험) 일반,양산시청,18,18,0,2025.06.10,2025.06.10,2025.06.12 ~ 2026.06.11,확정완료,중소중견기업,N,부산지사,김예은,양산시청,지원완료
1125060006,0,2025년 aT 단체보험(소액한도) ,단기수출보험(단체보험) 소규모,한국농수산식품유통공사,100,55,45,2025.06.09,2025.06.09,2025.06.01 ~ 2026.05.31,확정완료,중소중견기업,N,수출기업화팀,고준혁,aT(한국농수산식품유통공사),지원완료
1125060005,0,2025 전북특별자치도경제통상진흥원 단체보험 갱신,단기수출보험(단체보험) 일반,(재)전북특별자치도경제통상진흥원,90,90,0,2025.06.09,2025.06.09,2025.06.01 ~ 2026.05.31,확정완료,중소중견기업,N,전북지사,유한솔,전북특별자치도청,지원완료
1125060004,0,[특약추가]2024년 충남도청 단체보험(6차),단기수출보험(단체보험) 일반,충청남도청,5,5,0,2025.06.05,2025.06.05,2025.06.01 ~ 2025.10.07,확정완료,중소중견기업,N,대전세종충남지사,장정란,충남도청,지원완료
1125060003,0,2025년 창원시청 단체보험(2차),단기수출보험(단체보험) 일반,창원시청,19,19,0,2025.06.02,2025.06.02,2025.06.07 ~ 2026.06.06,확정완료,중소중견기업,N,경남지사,전보영,창원시청,지원완료
1125060002,0,2025년 김해의생명산업진흥원 단체보험(일괄가입-소규모),단기수출보험(단체보험) 소규모,김해의생명산업진흥원,29,29,0,2025.06.02,2025.06.02,2025.06.09 ~ 2026.06.08,확정완료,중소중견기업,Y,경남지사,김민아1,김해의생명산업진흥원,지원완료
1125060001,0,2025년 김해의생명산업진흥원 단체보험(일괄가입-일반),단기수출보험(단체보험) 일반,김해의생명산업진흥원,18,18,0,2025.06.02,2025.06.02,2025.06.09 ~ 2026.06.08,확정완료,중소중견기업,Y,경남지사,김민아1,김해의생명산업진흥원,지원완료
1125050029,0,2025년 안양시 단체보험(6월 갱신),단기수출보험(단체보험) 일반,안양산업진흥원,9,9,0,2025.05.30,2025.05.30,2025.06.05 ~ 2026.06.04,확정완료,중소중견기업,N,경기남부지사,신주영,안양시청,지원완료
1125050028,0,"우리은행 단체보험(일괄, 소규모)",단기수출보험(단체보험) 소규모,우리은행 외환사업부,31,31,0,2025.05.29,2025.05.29,2025.06.02 ~ 2026.06.01,확정완료,중소중견기업,Y,수출기업화팀,고준혁,우리은행,지원완료
1125050027,0,2025 성남시 단체보험 (5월),단기수출보험(단체보험) 일반,성남시청,12,12,0,2025.05.29,2025.05.29,2025.05.06 ~ 2026.05.05,확정완료,중소중견기업,N,경기남부지사,길연경,성남시청,지원완료
1125050026,0,[계약추가] 2025년 제주특별자치도 단체보험 (3차),단기수출보험(단체보험) 일반,제주특별자치도청,1,1,0,2025.05.29,2025.05.29,2025.06.01 ~ 2026.01.31,확정완료,중소중견기업,N,제주지사,채수한,제주특별자치도청,지원완료
1125050025,1,[계약추가] 2025년 경남도청 제2차 단체보험 추가,단기수출보험(단체보험) 일반,경상남도,4,4,0,2025.07.02,2025.07.02,2025.06.25 ~ 2026.06.06,확정완료,중소중견기업,N,경남지사,김민아1,경남도청,지원완료
1125050025,0,2025년 경남도청 제2차 단체보험,단기수출보험(단체보험) 일반,경상남도,52,52,0,2025.05.29,2025.05.29,2025.06.07 ~ 2026.06.06,확정완료,중소중견기업,N,경남지사,이무홍,경남도청,지원완료
1125050024,0,[추가] 2025년 천안시 단체보험 피보험자 추가_2차,단기수출보험(단체보험) 일반,천안시청,1,1,0,2025.05.29,2025.05.29,2025.06.01 ~ 2026.04.19,확정완료,중소중견기업,N,천안출장소,신예선,천안시청,지원완료
1125050023,0,2025년 6월 화성시 단체보험,단기수출보험(단체보험) 일반,화성시청,8,8,0,2025.05.29,2025.05.29,2025.06.01 ~ 2026.05.31,확정완료,중소중견기업,N,경기남부지사,남영은,화성시청,지원완료
1125050022,0,2025년 6월 서울시청 단체보험 신규,단기수출보험(단체보험) 일반,서울시청,21,19,2,2025.05.28,2025.05.28,2025.06.01 ~ 2026.05.31,확정완료,중소중견기업,N,중앙지사,이창환,서울특별시청,지원완료
1125050021,0,2025년 6월 서울시청 단체보험 갱신,단기수출보험(단체보험) 일반,서울시청,126,117,9,2025.05.28,2025.05.28,2025.06.01 ~ 2026.05.31,확정완료,중소중견기업,N,중앙지사,이창환,서울특별시청,지원완료
1125050020,0,2025년 부천시 단체보험(3차)_6월,단기수출보험(단체보험) 일반,부천시청,4,4,0,2025.05.27,2025.05.27,2025.06.01 ~ 2026.05.31,확정완료,중소중견기업,N,인천지사,정가연,부천시청,지원완료
1125050019,0,2025년 인천광역시 단체보험(5차)_6월11일,단기수출보험(단체보험) 일반,인천광역시청,12,12,0,2025.05.27,2025.05.27,2025.06.11 ~ 2026.06.10,확정완료,중소중견기업,N,인천지사,정가연,인천광역시청,지원완료
1125050018,0,2025년 인천광역시 단체보험(5차)_6월1일,단기수출보험(단체보험) 일반,인천광역시청,14,14,0,2025.05.27,2025.05.27,2025.06.01 ~ 2026.05.31,확정완료,중소중견기업,N,인천지사,정가연,인천광역시청,지원완료
1125050017,0,2025년 아산시 단체보험 갱신,단기수출보험(단체보험) 일반,아산시청,53,53,0,2025.05.26,2025.05.26,2025.05.28 ~ 2026.05.27,확정완료,중소중견기업,N,천안출장소,이운재,아산시청,지원완료
1125050016,0,2025년 무역협회 10차 단체보험(소액한도),단기수출보험(단체보험) 소규모,(사)한국무역협회,8,7,1,2025.05.26,2025.05.26,2025.06.01 ~ 2026.05.31,확정완료,중소중견기업,N,수출기업화팀,고준혁,한국무역협회,지원완료
1125050015,0,2025년 무역협회 10차 단체보험,단기수출보험(단체보험) 일반,(사)한국무역협회,25,22,3,2025.05.26,2025.05.26,2025.06.01 ~ 2026.05.31,확정완료,중소중견기업,N,수출기업화팀,고준혁,한국무역협회,지원완료
1125050014,0,2025년 장애인고용공단 단체보험(소액한도),단기수출보험(단체보험) 소규모,한국장애인고용공단,21,17,4,2025.05.19,2025.05.19,2025.05.12 ~ 2026.05.11,확정완료,중소중견기업,N,수출기업화팀,고준혁,한국장애인고용공단,지원완료
1125050013,0,2025 성남시 단체보험(4월),단기수출보험(단체보험) 일반,성남시청,13,12,1,2025.05.15,2025.05.15,2025.04.07 ~ 2026.04.06,확정완료,중소중견기업,N,경기남부지사,길연경,성남시청,지원완료
1125050012,0,2025년 aT 5월 단체보험,단기수출보험(단체보험) 일반,한국농수산식품유통공사,24,17,7,2025.05.14,2025.05.14,2025.05.20 ~ 2026.05.19,확정완료,중소중견기업,N,수출기업화팀,고준혁,aT(한국농수산식품유통공사),지원완료
1125050011,0,2025년 진천상공회의소 일괄가입방식 단기수출보험(단체보험-소액한도),단기수출보험(단체보험) 소규모,진천상공회의소,22,22,0,2025.05.13,2025.05.13,2025.05.20 ~ 2026.05.19,확정완료,중소중견기업,Y,충북지사,허효산,진천군청,지원완료
1125050010,0,2025년 진천상공회의소 일괄가입방식 단기수출보험(단체보험-일반한도),단기수출보험(단체보험) 일반,진천상공회의소,26,26,0,2025.05.13,2025.05.13,2025.05.20 ~ 2026.05.19,확정완료,중소중견기업,Y,충북지사,허효산,진천군청,지원완료
1125050009,0,2025년 안양시 단체보험(5월 갱신 3차),단기수출보험(단체보험) 일반,안양산업진흥원,2,2,0,2025.05.12,2025.05.12,2025.05.18 ~ 2026.05.17,확정완료,중소중견기업,N,경기남부지사,신주영,안양시청,지원완료
1125050008,0,2025년 안양시 단체보험(5월갱신 및 신규_2차),단기수출보험(단체보험) 일반,안양산업진흥원,6,6,0,2025.05.12,2025.05.12,2025.05.08 ~ 2026.05.07,확정완료,중소중견기업,N,경기남부지사,신주영,안양시청,지원완료
1125050007,0,2025년 안양시 단체보험(5월 갱신 및 신규_1차),단기수출보험(단체보험) 일반,안양산업진흥원,7,7,0,2025.05.12,2025.05.12,2025.05.01 ~ 2026.04.30,확정완료,중소중견기업,N,경기남부지사,신주영,안양시청,지원완료
1125050006,0,2025년 경기도 단체보험(경기 안심 수출보험),단기수출보험(단체보험) 일반,경기도청,"8,043","8,011",32,2025.05.09,2025.05.09,2025.05.07 ~ 2026.05.06,확정완료,중소중견기업,Y,경기남부지사,나영희,경기도청,지원완료
1125050005,0,2025년 무역협회 9차 단체보험,단기수출보험(단체보험) 일반,(사)한국무역협회,11,6,5,2025.05.09,2025.05.09,2025.05.16 ~ 2026.05.15,확정완료,중소중견기업,N,수출기업화팀,고준혁,한국무역협회,지원완료
1125050004,0,[특약추가]2024년 충남도청 단체보험(5차),단기수출보험(단체보험) 일반,충청남도청,5,5,0,2025.05.09,2025.05.09,2025.05.01 ~ 2025.10.07,확정완료,중소중견기업,N,대전세종충남지사,장정란,충남도청,지원완료
1125050003,0,2025년 5월 파주시청 단체보험,단기수출보험(단체보험) 일반,파주시청,6,3,3,2025.05.08,2025.05.08,2025.05.01 ~ 2026.04.30,확정완료,중소중견기업,N,경기북부지사,최슬기,파주시청,지원완료
1125050002,0,2025년 5월 김포시청 단체보험,단기수출보험(단체보험) 일반,김포시청,6,4,2,2025.05.08,2025.05.08,2025.05.01 ~ 2026.04.30,확정완료,중소중견기업,N,경기북부지사,최슬기,김포시청,지원완료
1125050001,0,2025년 경남도청 제1차 단체보험,단기수출보험(단체보험) 일반,경상남도,191,191,0,2025.05.02,2025.05.02,2025.05.02 ~ 2026.05.01,확정완료,중소중견기업,N,경남지사,이무홍,경남도청,지원완료
1125040020,0,2025년 충남경제진흥원 일괄가입방식 단체보험 갱신,단기수출보험(단체보험) 일반,충남경제진흥원,101,99,2,2025.04.30,2025.04.30,2025.04.29 ~ 2026.04.28,확정완료,중소중견기업,Y,대전세종충남지사,장정란,충남도청,지원완료
1125040019,0,2025년 부천시 단체보험(2차)_5월,단기수출보험(단체보험) 일반,부천시청,3,3,0,2025.04.29,2025.04.29,2025.05.01 ~ 2026.04.30,확정완료,중소중견기업,N,인천지사,정가연,부천시청,지원완료
1125040018,0,2025년 인천광역시 단체보험(4차)_5월,단기수출보험(단체보험) 일반,인천광역시청,22,22,0,2025.04.29,2025.04.29,2025.05.01 ~ 2026.04.30,확정완료,중소중견기업,N,인천지사,정가연,인천광역시청,지원완료
1125040017,0,2025년 5월 서울시청 단체보험 신규,단기수출보험(단체보험) 일반,서울시청,44,40,4,2025.04.28,2025.04.28,2025.05.01 ~ 2026.04.30,확정완료,중소중견기업,N,중앙지사,이창환,서울특별시청,지원완료
1125040016,0,2025년 5월 서울시청 단체보험 갱신,단기수출보험(단체보험) 일반,서울시청,519,486,33,2025.04.28,2025.04.28,2025.05.01 ~ 2026.04.30,확정완료,중소중견기업,N,중앙지사,이창환,서울특별시청,지원완료
1125040015,0,2025년 5월 화성시 단체보험,단기수출보험(단체보험) 일반,화성시청,13,13,0,2025.04.28,2025.04.28,2025.05.01 ~ 2026.04.30,확정완료,중소중견기업,N,경기남부지사,남영은,화성시청,지원완료
